timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1631701738622,97,Home,308,Permanent Redirect,Amazon testing 1-1,,true,,281,119,4,4,http://www.amazon.com/,97,0,56
1631701738653,82,Home,308,Permanent Redirect,Amazon testing 1-2,,true,,281,119,4,4,http://www.amazon.com/,82,0,41
1631701738687,81,Home,308,Permanent Redirect,Amazon testing 1-3,,true,,281,119,5,5,http://www.amazon.com/,81,0,41
1631701738724,77,Cart,308,Permanent Redirect,Amazon testing 1-1,,true,,312,150,6,6,http://www.amazon.com/gp/cart/view.html?ref_=nav_cart,77,0,38
1631701738720,88,Home,308,Permanent Redirect,Amazon testing 1-4,,true,,281,119,6,6,http://www.amazon.com/,88,0,46
1631701738736,85,Cart,308,Permanent Redirect,Amazon testing 1-2,,true,,312,150,7,7,http://www.amazon.com/gp/cart/view.html?ref_=nav_cart,85,0,42
1631701738752,79,Home,308,Permanent Redirect,Amazon testing 1-5,,true,,281,119,7,7,http://www.amazon.com/,79,0,37
1631701738768,77,Cart,308,Permanent Redirect,Amazon testing 1-3,,true,,312,150,7,7,http://www.amazon.com/gp/cart/view.html?ref_=nav_cart,77,0,38
1631701738786,84,Home,308,Permanent Redirect,Amazon testing 1-6,,true,,281,119,8,8,http://www.amazon.com/,84,0,44
1631701738802,76,Sign in,308,Permanent Redirect,Amazon testing 1-1,,true,,677,515,8,8,http://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fcart%2Fview.html%3Fref_%3Dnav_ya_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&,76,0,38
1631701738809,81,Cart,308,Permanent Redirect,Amazon testing 1-4,,true,,312,150,9,9,http://www.amazon.com/gp/cart/view.html?ref_=nav_cart,81,0,41
1631701738819,76,Home,308,Permanent Redirect,Amazon testing 1-7,,true,,281,119,9,9,http://www.amazon.com/,76,0,38
1631701738823,82,Sign in,308,Permanent Redirect,Amazon testing 1-2,,true,,677,515,9,9,http://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fcart%2Fview.html%3Fref_%3Dnav_ya_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&,82,0,42
1631701738831,83,Cart,308,Permanent Redirect,Amazon testing 1-5,,true,,312,150,9,9,http://www.amazon.com/gp/cart/view.html?ref_=nav_cart,83,0,42
1631701738845,81,Sign in,308,Permanent Redirect,Amazon testing 1-3,,true,,677,515,10,10,http://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fcart%2Fview.html%3Fref_%3Dnav_ya_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&,81,0,41
